fk_periodo;fk_pais;fk_indicador;valor
1;1;1;2894921778
2;1;1;3159905484
3;1;1;3456442103
4;1;1;3952600602
5;1;1;4085630584
6;1;1;3674409558
7;1;1;3449966857
8;1;1;3629203786
9;1;1;3188808943
10;1;1;3193704343
11;1;1;3271808157
12;1;1;2789870188
13;1;1;2896679212
14;1;1;3000180750
15;1;1;3218316013
16;1;1;3154057987
1;2;1;147824370320
2;2;1;180617467965
3;2;1;222116541865
4;2;1;257916133424
5;2;1;315474615739
6;2;1;253547358747
7;2;1;289787338325
8;2;1;350666031314
9;2;1;374590605854
10;2;1;390107556161
11;2;1;403137100068
12;2;1;358135057862
13;2;1;357045064670
14;2;1;385605506855
15;2;1;422215043585
16;2;1;421142267938
1;3;1;5226778809
2;3;1;6209137625
3;3;1;6971285595
4;3;1;9747879532
5;3;1;10109225814
6;3;1;12439087077
7;3;1;15856574731
8;3;1;17804292964
9;3;1;20001598506
10;3;1;20561069558
11;3;1;20484885120
12;3;1;19907111419
13;3;1;19362642267
14;3;1;20191760000
15;3;1;19484384937
16;3;1;19101353833
1;4;1;919577148
2;4;1;1022191296
3;4;1;1157005444
4;4;1;1311401333
5;4;1;1368431037
6;4;1;1224253000
7;4;1;1148700000
8;4;1;1137637037
9;4;1;1199948148
10;4;1;1181448148
11;4;1;1249733333
12;4;1;1336692593
13;4;1;1436585185
14;4;1;1467977778
15;4;1;1610574074
16;4;1;1727759259
1;5;1;7184681399
2;5;1;8052075642
3;5;1;8896073938
4;5;1;10677321490
5;5;1;12881354104
6;5;1;12044223353
7;5;1;11926928506
8;5;1;12890765324
9;5;1;12319830252
10;5;1;12776217195
11;5;1;13228144008
12;5;1;11386846319
13;5;1;11861200797
14;5;1;13019693451
15;5;1;15147020535
16;5;1;15278077447
1;6;1;3576615240
2;6;1;4900469950
3;6;1;6384451606
4;6;1;9206301700
5;6;1;11662040714
6;6;1;8647936748
7;6;1;9260284938
8;6;1;10142111334
9;6;1;10619320049
10;6;1;11121465767
11;6;1;11609512940
12;6;1;10553337673
13;6;1;10546135160
14;6;1;11527458566
15;6;1;12457941907
16;6;1;13672802158
1;7;1;23552052408
2;7;1;36970918699
3;7;1;52381006892
4;7;1;65266452081
5;7;1;88538611205
6;7;1;70307163678
7;7;1;83799496611
8;7;1;111789686464
9;7;1;128052853643
10;7;1;136709862831
11;7;1;145712200313
12;7;1;116193649124
13;7;1;101123851090
14;7;1;122123822334
15;7;1;101353230785
16;7;1;94635415870
1;8;1;164657930453
2;8;1;198737095012
3;8;1;232557260817
4;8;1;287530508431
5;8;1;361558037110
6;8;1;332976484578
7;8;1;423627422092
8;8;1;530163281575
9;8;1;545982375701
10;8;1;552025140252
11;8;1;526319673732
12;8;1;594749285413
13;8;1;557531376218
14;8;1;642695864756
15;8;1;519871519808
16;8;1;449663446954
1;9;1;300904221505
2;9;1;315974418605
3;9;1;335998557270
4;9;1;388691445387
5;9;1;430294287388
6;9;1;400172297861
7;9;1;391892746545
8;9;1;431120310089
9;9;1;409425234155
10;9;1;430068712972
11;9;1;441996131737
12;9;1;381817565894
13;9;1;395227684139
14;9;1;418316161096
15;9;1;455508255028
16;9;1;446314739528
1;10;1;612490396927
2;10;1;693407758232
3;10;1;746054207847
4;10;1;853099630996
5;10;1;1053995523724
6;10;1;927805183331
7;10;1;1146138465604
8;10;1;1396649906339
9;10;1;1546151783873
10;10;1;1576184467015
11;10;1;1467483705132
12;10;1;1351693984525
13;10;1;1208846993740
14;10;1;1330135756844
15;10;1;1433904348500
16;10;1;1392680589329
1;11;1;8680370408
2;11;1;13245716099
3;11;1;20982986344
4;11;1;33050343783
5;11;1;48852482960
6;11;1;44291490421
7;11;1;52902703376
8;11;1;65951627200
9;11;1;69683935845
10;11;1;74164435946
11;11;1;75244294275
12;11;1;53074370486
13;11;1;37867518957
14;11;1;40865558912
15;11;1;47112941176
16;11;1;48047647059
1;12;1;10596205714
2;12;1;11222953519
3;12;1;12864610994
4;12;1;15778767670
5;12;1;19112739664
6;12;1;17613836210
7;12;1;17176781337
8;12;1;18644723861
9;12;1;17226849297
